UserId,Product2Id,ProductName
0052x0000057xOBAAY,01t2x000002BuF8AAK,"Pivotal Term User License MAINTENANCE, STANDARD EDITION, PLATINUM SUCCESS"
0052x0000057xOBAAY,01t2x000002Cm2mAAC,"Pivotal Term User License, PLATINUM SUCCESS"
0052x000003XjMPAA0,01t2x000001E1mHAAS,"DNN Production License EVOQ, PROFESSIONAL EDITION, PLATINUM SUCCESS"
0052x000003XjMPAA0,01t2x000001E1nKAAS,"DNN Non-Production License EVOQ Content, ADD-ON, Platinum support"
0052x000003XjMPAA0,01t2x000001E1nZAAS,"DNN Failover License EVOQ Content, ADD-ON, Platinum support"
0052x000003XjMPAA0,01t2x000003PncZAAS,"DNN Non-Production License EVOQ Content, ADD-ON"
0052x000003XjMPAA0,01t2x000003PnccAAC,"DNN Non-Production License EVOQ, PLATINUM SUCCESS"
0052x000003XjMPAA0,01t2x000003PncTAAS,"DNN Failover License EVOQ Content, ADD-ON"
0052x000003XjMPAA0,01t2x000003PncWAAS,"DNN Failover License EVOQ, PLATINUM SUCCESS"
0052x0000057OQrAAM,01t2x000002HyYsAAK,RightSpend
0052x000003qiyMAAQ,01t2x0000029JkKAAU,"Tradebeam iSupply, STANDARD EDITION, STANDARD SUCCESS"
0052x000003qiyMAAQ,01t2x0000029JkGAAU,"Tradebeam iSupply, STANDARD EDITION"
0052x000003qiyMAAQ,01t2x0000029JkHAAU,"Tradebeam iSupply, STANDARD SUCCESS"
0052x0000049sbGAAQ,01t2x0000026CAtAAM,"Bonzai (SaaS), STANDARD EDITION, PLATINUM SUCCESS"
0052x0000049sbGAAQ,01t2x0000026CAvAAM,"Bonzai (SaaS), STANDARD EDITION"
0052x0000049sbGAAQ,01t2x0000026CB7AAM,"Bonzai (SaaS), PLATINUM SUCCESS"
0052x000002QDFNAA4,01t2x000001DpaxAAC,Kayako COLLABORATOR TNK
0052x0000049BoSAAU,01t2x000002Cg4qAAC,Jive Extension Packs
0052x000002Q1BbAAK,01t2x000003Px9GAAS,"Lyris (AEM) List Manager, STANDARD SUCCESS"
0052x000002V6t4AAC,01t2x000003PsrsAAC,"BroadVision QuickSilver MAINTENANCE, STANDARD EDITION, STANDARD SUCCESS"
0052x000002V6t4AAC,01t2x000003PssBAAS,"BroadVision QuickSilver, STANDARD SUCCESS"
0052x000002QDFcAAO,01t2x000001DpaxAAC,Kayako COLLABORATOR TNK
0052x0000049BoSAAU,01t2x000002IWjpAAG,"Influitive PostBeyond, STANDARD EDITION, STANDARD SUCCESS"
0052x0000049BoSAAU,01t2x000002IWjzAAG,"Influitive PostBeyond, STANDARD EDITION"
0052x0000049BoSAAU,01t2x000002IWk9AAG,"Influitive PostBeyond, STANDARD SUCCESS"
0052x0000057xOBAAY,01t2x000001DpaxAAC,Kayako COLLABORATOR TNK
0052x000002Q1BbAAK,01t2x000002BuF3AAK,"Pivotal Term User License MAINTENANCE, STANDARD EDITION, STANDARD SUCCESS"
0052x000002Q1BbAAK,01t2x000002Cm2NAAS,"Pivotal Term User License, STANDARD SUCCESS"
0052x0000049BoSAAU,01t2x000002IWkOAAW,"Influitive PostBeyond, STANDARD EDITION, PLATINUM SUCCESS"
0052x0000049BoSAAU,01t2x000002IWkYAAW,"Influitive PostBeyond, PLATINUM SUCCESS"
0052x000003dwcIAAQ,01t2x000002IWkJAAW,"Influitive AdvocateHub, STANDARD EDITION, PLATINUM SUCCESS"
0052x000003dwcIAAQ,01t2x000002IWk4AAG,"Influitive AdvocateHub, STANDARD EDITION"
0052x000003dwcIAAQ,01t2x000002IWkTAAW,"Influitive AdvocateHub, PLATINUM SUCCESS"
0052x0000049BoSAAU,01t2x000002IWkJAAW,"Influitive AdvocateHub, STANDARD EDITION, PLATINUM SUCCESS"
0052x0000049BoSAAU,01t2x000002IWk4AAG,"Influitive AdvocateHub, STANDARD EDITION"
0052x000003dqwoAAA,01t2x000002ITl0AAG,"Kandy UCaaS License Package, STANDARD EDITION, PLATINUM SUCCESS"
0052x000003dqwoAAA,01t2x000002ITlKAAW,"Kandy UCaaS Skyvera Office, ADD-ON, Platinum support"
0052x000003dqwoAAA,01t2x000002ITlUAAW,"Kandy UCaaS Skyvera Power User, ADD-ON, Platinum support"
0052x000003dqwoAAA,01t2x000002ITleAAG,"Kandy Cloud Fax, ADD-ON, Platinum support"
0052x000003dqwoAAA,01t2x000002ITlyAAG,"Kandy Auto Attendant Additional, ADD-ON, Platinum support"
0052x000003dqwoAAA,01t2x000002ITo4AAG,"Kandy Auto Attendant Additional, ADD-ON"
0052x000003dqwoAAA,01t2x000002ITpHAAW,"Kandy Auto Attendant Additional, PLATINUM SUCCESS"
0052x000003dqwoAAA,01t2x000002ITnpAAG,"Kandy Cloud Fax, ADD-ON"
0052x000003dqwoAAA,01t2x000002ITp7AAG,"Kandy Cloud Fax, PLATINUM SUCCESS"
0052x000003dqwoAAA,01t2x000002ITnkAAG,"Kandy UCaaS Skyvera Power User, ADD-ON"
0052x000003dqwoAAA,01t2x000002ITn2AAG,"Kandy UCaaS Skyvera Power User, PLATINUM SUCCESS"
0052x000003dqwoAAA,01t2x000002ITnfAAG,"Kandy UCaaS Skyvera Office, ADD-ON"
0052x000003dqwoAAA,01t2x000002ITp2AAG,"Kandy UCaaS Skyvera Office, PLATINUM SUCCESS"
0052x000003dqwoAAA,01t2x000002ITnQAAW,"Kandy UCaaS License Package, STANDARD EDITION"
0052x000003dqwoAAA,01t2x000002ITnVAAW,"Kandy UCaaS License Package, PLATINUM SUCCESS"
0052x000003dqwoAAA,01t2x000002ITmmAAG,"Kandy UCD/Call Distribution, ADD-ON, Platinum support"
